date_raw	event_raw	sport_raw	location_raw	status_raw	winner_raw	source	source_url	source_table_index	source_heading	source_month	row_order	date	event	sport	location	sort_start_date	sort_end_date	final_row_key	is_valid_final_row	drop_reason	duplicate_exact	duplicate_exact_preferred	keep_final_row
22. Apr.	La Flèche Wallonne	Radsport	Belgien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		78		La Flèche Wallonne	Radsport	Belgien				False	unparseable_date	False	False	False
25. Apr. – 2. Mai	Mixed-Doubles-Weltmeisterschaft	Curling	Genf			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		79		Mixed-Doubles-Weltmeisterschaft	Curling	Genf				False	unparseable_date	False	False	False
26. Apr.	London-Marathon	Marathon	London			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		80		London-Marathon	Marathon	London				False	unparseable_date	False	False	False
26. Apr.	Lüttich–Bastogne–Lüttich	Radsport	Belgien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		81		Lüttich–Bastogne–Lüttich	Radsport	Belgien				False	unparseable_date	False	False	False
28. Apr. – 3. Mai	Tour de Romandie	Radsport	Schweiz			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		82		Tour de Romandie	Radsport	Schweiz				False	unparseable_date	False	False	False
28. Apr. – 10. Mai	Weltmeisterschaft (Mannschaft)	Tischtennis	London			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		83		Weltmeisterschaft (Mannschaft)	Tischtennis	London				False	unparseable_date	False	False	False
30. Apr. – 17. Mai	U-17-Asienmeisterschaft der Frauen	Fußball	Volksrepublik China			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		84		U-17-Asienmeisterschaft der Frauen	Fußball	Volksrepublik China				False	unparseable_date	False	False	False
1. Mai	Eschborn–Frankfurt	Radsport	Deutschland			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		85		Eschborn–Frankfurt	Radsport	Deutschland				False	unparseable_date	False	False	False
2. Mai – 3. Mai	World Athletics Relays	Leichtathletik	Gaborone			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		86		World Athletics Relays	Leichtathletik	Gaborone				False	unparseable_date	False	False	False
3. Mai – 10. Mai	La Vuelta Femenina	Radsport	Spanien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		87		La Vuelta Femenina	Radsport	Spanien				False	unparseable_date	False	False	False
6. Mai – 10. Mai	Weltmeisterschaft der U19-Juniorinnen	Unihockey/Floorball	Lignano Sabbiadoro			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		88		Weltmeisterschaft der U19-Juniorinnen	Unihockey/Floorball	Lignano Sabbiadoro				False	unparseable_date	False	False	False
6. Mai – 21. Mai	Europameisterschaften über 25 und 50 Meter	Schießen	Osijek			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		89		Europameisterschaften über 25 und 50 Meter	Schießen	Osijek				False	unparseable_date	False	False	False
8. Mai – 10. Mai	Austrian Darts Open	Darts	Graz			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		90		Austrian Darts Open	Darts	Graz				False	unparseable_date	False	False	False
9. Mai – 31. Mai	Giro d’Italia	Radsport	Italien Bulgarien Schweiz			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		91		Giro d’Italia	Radsport	Italien Bulgarien Schweiz				False	unparseable_date	False	False	False
12. Mai – 14. Mai	Europameisterschaften	Taekwondo	München			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		92		Europameisterschaften	Taekwondo	München				False	unparseable_date	False	False	False
12. Mai – 17. Mai	49er, 49erFX, Nacra 17 Weltmeisterschaften	Segeln	Saint-Pierre-Quiberon			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		93		49er, 49erFX, Nacra 17 Weltmeisterschaften	Segeln	Saint-Pierre-Quiberon				False	unparseable_date	False	False	False
15. Mai – 31. Mai	Weltmeisterschaft der Herren Top-Division	Eishockey	Zürich Freiburg			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		94		Weltmeisterschaft der Herren Top-Division	Eishockey	Zürich Freiburg				False	unparseable_date	False	False	False
18. Mai – 24. Mai	Europameisterschaften	Bogenschießen	Antalya			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		95		Europameisterschaften	Bogenschießen	Antalya				False	unparseable_date	False	False	False
20. Mai – 24. Mai	Europameisterschaften	Karate	Frankfurt am Main			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		96		Europameisterschaften	Karate	Frankfurt am Main				False	unparseable_date	False	False	False
22. Mai – 24. Mai	International Darts Open	Darts	Riesa			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		97		International Darts Open	Darts	Riesa				False	unparseable_date	False	False	False
24. Mai – 7. Jun.	French Open	Tennis	Paris			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	4	Mai		98		French Open	Tennis	Paris				False	unparseable_date	False	False	False
